study,subgroup,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
primary,age50_64,clinical,15,631,chronic_liver,0.0015284894309526504,0.673471580367707,0.001507430035584218,0.003788555710937145,0.3978904233168415,0.2281125675352927,1.0
primary,age50_64,clinical,15,631,lung_cancer,0.015612610383994875,0.3791569515612424,0.01564157186274758,0.015763587207287377,0.9922596714227971,0.012201534453979562,15.0
primary,age50_64,clinical,15,631,colorectal_cancer,0.007137201566779946,0.39303017422069864,0.007173604035488965,0.007070480388972944,1.0145850975949036,-0.010312364651602138,6.0
primary,age50_64,clinical,15,631,pancreatic_cancer,0.008416339863826533,0.7040576963655588,0.008524930418990335,0.00381364928421916,2.2353734661093263,-0.4711281134771175,4.0
primary,age50_64,clinical,15,631,breast_cancer,0.00011165520648997825,,0.0,0.0076697068202273445,0.0,0.7669706820227344,0.0
primary,age50_64,clinical,15,631,prostate_cancer,0.00364942802831828,0.7229967142529623,0.003623673751257342,0.005682978342544737,0.6376363823400961,0.20593045912873953,3.0
primary,age50_64,clinical,15,631,gastric_cancer,0.005867299848492605,0.705802301006855,0.0059142002790922915,0.004092663612701402,1.4450736338891452,-0.182153666639089,5.0
primary,age50_64,clinical,15,631,hematologic_cancer,0.004560701963223708,0.3860477963493319,0.00453392000175644,0.009819370048358879,0.4617322678977964,0.5285450046602439,3.0
primary,age50_64,clinical,15,631,infection,0.010164519061319037,0.9033995708884047,0.010460226462132195,0.007401989673601806,1.4131641522599223,-0.3058236788530389,5.0
primary,age50_64,clinical,15,631,external,0.0069586180565141395,0.6685516901901218,0.006999968475427858,0.00805564559852678,0.8689518909208239,0.10556771230989222,4.0
primary,age50_64,clinical,15,631,other_or_unresolved,0.05482257737545614,0.5869116694139459,0.05815057034648724,0.06964340073925253,0.8349760311706363,1.1492830392765288,33.0
primary,age65_74,clinical,15,1128,multistate,0.7405447798834739,,,,,,
primary,age65_74,clinical,15,1128,all_cause,0.22610215469232123,0.6571884589133687,0.5773087626994938,0.5782568860884669,0.9983603768294287,0.09481233889730989,661.0
primary,age65_74,clinical,15,1128,ihd,0.15678849761624244,0.5925990772822177,0.19831359088762446,0.17886735496638803,1.108718753765273,-1.9446235921236426,225.0
primary,age65_74,clinical,15,1128,heart_failure,0.009350466728957575,0.4787483467836935,0.00941273800854659,0.012842616688449509,0.7329299189480825,0.34298786799029196,12.0
primary,age65_74,clinical,15,1128,stroke,0.043958715600816496,0.6969637566968186,0.047414283813134346,0.05866321989869047,0.8082455053612352,1.1248936085556125,79.0
primary,age65_74,clinical,15,1128,hypertension,0.011689425151198585,0.7416320732059221,0.012057358462007057,0.010821647920105102,1.1141887585906558,-0.12357105419019548,14.0
primary,age65_74,clinical,15,1128,aortic_aneurysm,0.006007643256640555,0.48609073071886877,0.006025773987005578,0.004312274575978042,1.3973539673407525,-0.17134994110275362,6.0
primary,age65_74,clinical,15,1128,chronic_respiratory,0.01996046209755082,0.6917485632091566,0.020572143029949152,0.021802059047802615,0.9435871623337603,0.12299160178534628,24.0
primary,age65_74,clinical,15,1128,dementia,0.001495304252713452,0.5047502178528296,0.0014565407085956029,0.005483623523807906,0.26561646733621136,0.40270828152123034,2.0
primary,age65_74,clinical,15,1128,diabetes,0.014190438100748482,0.6338587771207457,0.014354844821678753,0.008788664138275509,1.6333363746558447,-0.5566180683403245,15.0
primary,age65_74,clinical,15,1128,renal,0.009868683861251082,0.38186849957422914,0.009904768334832007,0.00597608985971411,1.6573994982240512,-0.3928678475117897,10.0
primary,age65_74,clinical,15,1128,chronic_liver,0.0018383375285534874,0.7957704144206272,0.0018416159969442524,0.0015698581427756506,1.1731098159532487,-0.02717578541686018,3.0
primary,age65_74,clinical,15,1128,lung_cancer,0.025375772196894374,0.6900380196128169,0.026300637213463568,0.020274288839940098,1.2972409252477275,-0.602634837352347,26.0
primary,age65_74,clinical,15,1128,colorectal_cancer,0.016550896716552927,0.5811175049176716,0.016807113826244127,0.010165736715909188,1.653309966206513,-0.664137711033494,22.0
primary,age65_74,clinical,15,1128,pancreatic_cancer,0.010291484055732911,0.41886044202943706,0.01036497976176677,0.005900504315257109,1.7566260793955755,-0.4464475446509661,12.0
primary,age65_74,clinical,15,1128,breast_cancer,0.006621097165369278,0.513579945946819,0.006583932883364498,0.012578012073926616,0.523447810724602,0.5994079190562118,3.0
primary,age65_74,clinical,15,1128,prostate_cancer,0.01163670826101665,0.8510366231777952,0.012000141682719382,0.009392027018744033,1.2776945444013559,-0.26081146639753483,18.0
primary,age65_74,clinical,15,1128,gastric_cancer,0.0032519724747824947,0.7970035391331981,0.0032709279930242703,0.005196317549652013,0.6294703820099136,0.19253895566277426,4.0
primary,age65_74,clinical,15,1128,hematologic_cancer,0.012153954269900789,0.5575345313531537,0.012291241737621883,0.009800266324359454,1.2541742571904277,-0.2490975413262429,8.0
